record_id,employee_id,manager_id,department,job_family,location,job_level,pay_type,hire_date,termination_date,base_pay_rate,pay_period_index,pay_period_start,pay_period_end,employment_status,tenure_months,regular_hours,overtime_hours,pay_rate,bonus,commission,retro_pay,manual_adjustment,gross_pay,deductions,net_pay,is_anomaly,anomaly_category,anomaly_dollars
0,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,1,2024-01-05,2024-01-18,active,52,72.8,8.11,76.59,0.0,0.0,0.0,0.0,6515.34,1405.39,5109.95,0,normal,0.0
1,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,2,2024-01-19,2024-02-01,active,53,82.4,8.38,76.59,0.0,0.0,0.0,0.0,7218.15,1755.98,5462.17,0,normal,0.0
2,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,3,2024-02-02,2024-02-15,active,53,77.75,3.73,76.59,0.0,0.0,0.0,0.0,6355.5,1374.36,4981.14,0,normal,0.0
3,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,4,2024-02-16,2024-02-29,active,54,80.06,6.53,76.59,0.0,0.0,0.0,0.0,6829.16,1788.23,5040.93,0,normal,0.0
4,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,5,2024-03-01,2024-03-14,active,54,73.8,1.87,76.59,0.0,0.0,0.0,0.0,5791.25,1456.9,4334.35,0,normal,0.0
5,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,6,2024-03-15,2024-03-28,active,54,78.58,5.51,76.59,0.0,0.0,0.0,0.0,6656.53,1633.39,5023.14,0,normal,0.0
6,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,7,2024-03-29,2024-04-11,active,55,76.4,2.83,76.59,0.0,0.0,0.0,0.0,6120.61,1632.36,4488.25,0,normal,0.0
7,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,8,2024-04-12,2024-04-25,active,55,78.81,7.44,76.59,0.0,0.0,0.0,-73.98,6872.89,1489.71,5383.18,0,normal,0.0
8,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,9,2024-04-26,2024-05-09,active,56,73.4,6.89,76.59,0.0,0.0,0.0,0.0,6423.6,1650.53,4773.07,0,normal,0.0
9,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,10,2024-05-10,2024-05-23,active,56,74.69,3.11,76.59,0.0,0.0,0.0,0.0,6047.8,1406.41,4641.38,0,normal,0.0
10,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,11,2024-05-24,2024-06-06,active,57,81.33,4.01,76.59,0.0,0.0,0.0,0.0,6595.25,1099.42,5495.83,0,normal,0.0
11,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,12,2024-06-07,2024-06-20,active,57,73.47,2.99,76.59,0.0,0.0,0.0,0.0,5910.13,1280.94,4629.19,0,normal,0.0
12,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,13,2024-06-21,2024-07-04,active,58,82.2,0.44,76.59,0.0,0.0,0.0,0.0,6251.86,1444.98,4806.87,0,normal,0.0
13,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,14,2024-07-05,2024-07-18,active,58,78.11,14.07,76.59,0.0,0.0,0.0,0.0,7613.02,2237.51,5375.51,0,normal,0.0
14,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,15,2024-07-19,2024-08-01,active,59,85.32,1.06,76.59,0.0,0.0,0.0,0.0,6566.16,1692.33,4873.83,0,normal,0.0
15,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,16,2024-08-02,2024-08-15,active,59,72.92,5.42,76.59,0.0,0.0,0.0,0.0,6234.59,1103.03,5131.56,0,normal,0.0
16,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,17,2024-08-16,2024-08-29,active,60,73.94,2.69,76.59,0.0,0.0,673.35,0.0,6578.31,1005.11,5573.21,0,normal,0.0
17,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,18,2024-08-30,2024-09-12,active,60,79.4,14.91,76.59,0.0,0.0,0.0,0.0,7717.24,1421.67,6295.57,0,normal,0.0
18,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,19,2024-09-13,2024-09-26,active,61,73.89,8.02,76.59,0.0,0.0,0.0,0.0,6571.1,1482.93,5088.17,0,normal,0.0
19,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,20,2024-09-27,2024-10-10,active,61,75.73,4.7,76.59,0.0,0.0,0.0,0.0,6358.4,1841.6,4516.8,0,normal,0.0
20,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,21,2024-10-11,2024-10-24,active,61,83.53,5.86,76.59,0.0,0.0,0.0,0.0,6982.2,2167.72,4814.48,0,normal,0.0
21,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,22,2024-10-25,2024-11-07,active,62,76.08,12.42,76.59,0.0,0.0,0.0,0.0,7296.35,1548.47,5747.88,0,normal,0.0
22,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,23,2024-11-08,2024-11-21,active,62,79.69,12.12,76.59,0.0,0.0,0.0,0.0,7492.71,1408.54,6084.17,0,normal,0.0
23,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,24,2024-11-22,2024-12-05,active,63,76.33,8.78,76.59,0.0,0.0,0.0,0.0,6885.98,1425.55,5460.42,0,normal,0.0
24,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,25,2024-12-06,2024-12-19,active,63,80.69,11.89,76.59,0.0,0.0,0.0,38.8,7596.14,10254.79,-2658.65,1,negative_net_pay,0.0
25,SYN-E00001,SYN-M0028,Support,Lead,Chicago,5,hourly,2019-09-23,,76.59,26,2024-12-20,2025-01-02,active,64,86.0,16.85,76.59,0.0,0.0,0.0,0.0,8483.87,2101.93,6381.94,0,normal,0.0
26,SYN-E00002,SYN-M0034,Engineering,Software,Remote,1,salaried,2019-12-10,,3197.44,1,2024-01-05,2024-01-18,active,50,80.0,0.0,3197.44,0.0,0.0,0.0,0.0,3387.07,676.41,2710.66,0,normal,0.0
