rank,employee_id,pay_period_index,final_anomaly_score,risk_category,primary_reason,secondary_reason,gross_pay,expected_gross_pay,difference_from_expected,peer_context,rule_reason_codes,dollars_at_risk,anomaly_category,explanation,rule_pay_after_termination,rule_duplicate_signature,rule_nonpositive_active_pay,rule_negative_net_pay,rule_net_exceeds_gross,rule_extreme_overtime,rule_large_manual_adjustment,rule_pay_rate_change
1,SYN-E00243,1,0.5810475117640047,medium,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,13574.89,,8823.914999999999,4750.975,none,10141.23,gross_pay_spike,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
2,SYN-E00445,1,0.45645444932347257,medium,High combined anomaly score,Review recommended before treating the record as an approved exception,16874.33,,3847.210000000001,13027.12,none,9204.18,retro_pay_outlier,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
3,SYN-E00186,1,0.37491704228182887,medium,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,8248.06,,4586.009999999999,3662.05,none,4498.94,retro_pay_outlier,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
4,SYN-E00372,1,0.3638273145925851,medium,High combined anomaly score,Review recommended before treating the record as an approved exception,13027.12,,0.0,13027.12,none,8763.03,gross_pay_spike,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
5,SYN-E00572,1,0.3342853575979444,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,9170.19,,3371.38,5798.81,none,5001.92,retro_pay_outlier,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
6,SYN-E00505,1,0.30322391579155816,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,8101.88,,4070.865,4031.0150000000003,none,4050.94,duplicate_payment,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
7,SYN-E00486,1,0.30084031304992476,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,7574.64,,4751.725,2822.915,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
8,SYN-E00232,1,0.27707151305161687,low,High combined anomaly score,Review recommended before treating the record as an approved exception,11241.09,,0.0,11241.09,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
9,SYN-E00145,1,0.2668808295177313,low,High combined anomaly score,Review recommended before treating the record as an approved exception,9671.63,,3023.5249999999996,6648.105,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
10,SYN-E00149,1,0.25381863240575187,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,7697.76,,2919.99,4777.77,none,4315.88,gross_pay_spike,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
11,SYN-E00631,1,0.23423046413206774,low,High combined anomaly score,Review recommended before treating the record as an approved exception,8401.82,,0.0,8401.82,none,4901.06,new_employee_large_payment,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
12,SYN-E00183,1,0.2318216508538668,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,7009.36,,3122.7599999999998,3886.6,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
13,SYN-E00305,1,0.2252705610295018,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,8676.65,,3042.785,5633.865,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
14,SYN-E00535,1,0.21579253011042637,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,6668.79,,2774.56,3894.23,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
15,SYN-E00154,1,0.19623913998984205,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,6758.8,,3108.73,3650.07,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
16,SYN-E00150,1,0.1900186265556036,low,High combined anomaly score,Review recommended before treating the record as an approved exception,3002.9,,0.0,3002.9,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
17,SYN-E00341,1,0.1850840094694698,low,High combined anomaly score,Review recommended before treating the record as an approved exception,8067.11,,2347.9399999999996,5719.17,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
18,SYN-E00567,1,0.18144100591786763,low,Rule flag: pay_after_termination,Review recommended before treating the record as an approved exception,3428.15,,-160.63999999999987,3588.79,pay_after_termination,0.0,pay_after_termination,"Synthetic payroll record requires review: Rule flag: pay_after_termination. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",1,0,0,0,0,0,0,0
19,SYN-E00261,1,0.18036326596947694,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,7378.94,,2994.5099999999993,4384.43,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
20,SYN-E00562,1,0.1779557328958632,low,High combined anomaly score,Review recommended before treating the record as an approved exception,8080.86,,0.0,8080.86,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
21,SYN-E00018,1,0.17757578811338592,low,High combined anomaly score,Review recommended before treating the record as an approved exception,7174.95,,1770.8149999999996,5404.135,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
22,SYN-E00178,1,0.17645494254647479,low,High combined anomaly score,Review recommended before treating the record as an approved exception,4011.54,,879.48,3132.06,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
23,SYN-E00041,1,0.1757221459215207,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,1786.1,,-2533.095,4319.195,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
24,SYN-E00240,1,0.17359843006418163,low,Gross pay materially differs from similar peer group,Review recommended before treating the record as an approved exception,6265.04,,3262.14,3002.9,none,0.0,normal,"Synthetic payroll record requires review: Gross pay materially differs from similar peer group. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
25,SYN-E00135,1,0.17019478192300921,low,High combined anomaly score,Review recommended before treating the record as an approved exception,7809.48,,1600.4399999999996,6209.04,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
26,SYN-E00322,1,0.16053620566826632,low,High combined anomaly score,Review recommended before treating the record as an approved exception,3400.32,,69.27500000000009,3331.045,none,0.0,normal,"Synthetic payroll record requires review: High combined anomaly score. Review recommended before treating the record as an approved exception. This is an exception triage signal, not a misconduct conclusion.",0,0,0,0,0,0,0,0
