pay_period_index,k,precision_at_k,recall_at_k,f1_at_k
5,10.0,0.3,0.75,0.4285714285714285
6,10.0,0.5,0.7142857142857143,0.588235294117647
7,10.0,0.5,0.5555555555555556,0.5263157894736842
8,10.0,0.4,0.5714285714285714,0.47058823529411764
9,10.0,0.7,0.875,0.7777777777777777
10,10.0,0.3,0.42857142857142855,0.3529411764705882
11,10.0,0.3,1.0,0.4615384615384615
12,10.0,0.6,0.6666666666666666,0.631578947368421
13,10.0,0.9,0.6923076923076923,0.7826086956521738
14,10.0,0.5,0.625,0.5555555555555556
15,10.0,0.5,0.7142857142857143,0.588235294117647
16,10.0,0.3,0.6,0.4
17,10.0,0.8,0.4444444444444444,0.5714285714285714
18,10.0,0.6,0.6,0.6
19,10.0,0.6,0.75,0.6666666666666665
20,10.0,0.9,0.2903225806451613,0.4390243902439024
21,10.0,0.5,0.38461538461538464,0.4347826086956522
22,10.0,0.7,0.7,0.7
23,10.0,0.8,0.6666666666666666,0.7272727272727272
24,10.0,0.1,0.16666666666666666,0.125
25,10.0,0.4,0.6666666666666666,0.5
26,10.0,0.2,0.6666666666666666,0.30769230769230765
